date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:51	2881/2881	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202024%2023:30:50%20GMT	http://localhost:8000/robots.txt		(from )
20:30:52	1732/1732	---M--	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202024%2023:30:51%20GMT	http://localhost:8000/	/root/websites/well/localhost_8000/index.html	(from )
20:30:52	1659/1659	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Sep%202024%2022:10:54%20GMT	http://localhost:8000/static/css/main.css	/root/websites/well/localhost_8000/static/css/main.css	(from http://localhost:8000/)
20:30:54	87533/87533	---M--	200	added ('OK')	text/javascript	date:Tue,%2012%20Sep%202023%2002:38:22%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js	/root/websites/well/ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js	(from http://localhost:8000/)
20:30:56	17384/17384	---M-Z	200	added ('OK')	application/javascript	etag:%226565bbdd-1bc9%22	https://cdnjs.cloudflare.com/ajax/libs/animejs/3.2.2/anime.min.js	/root/websites/well/cdnjs.cloudflare.com/ajax/libs/animejs/3.2.2/anime.min.js	(from http://localhost:8000/)
20:30:56	152/152	---M--	200	added ('OK')	text/javascript	date:Thu,%2026%20Sep%202024%2022:10:54%20GMT	http://localhost:8000/static/js/index.js	/root/websites/well/localhost_8000/static/js/index.3.delayed	(from http://localhost:8000/)
20:30:56	2119/2119	---M--	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202024%2023:30:56%20GMT	http://localhost:8000/sobre/	/root/websites/well/localhost_8000/sobre/index.html	(from http://localhost:8000/)
20:30:56	1535/1535	---M--	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202024%2023:30:56%20GMT	http://localhost:8000/contato/	/root/websites/well/localhost_8000/contato/index.html	(from http://localhost:8000/)
20:30:57	5427/5427	---M--	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202024%2023:30:57%20GMT	http://localhost:8000/experiencia/	/root/websites/well/localhost_8000/experiencia/index.html	(from http://localhost:8000/)
20:30:58	2119/2119	---M--	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202024%2023:30:58%20GMT	http://localhost:8000/sobre/	/root/websites/well/localhost_8000/sobre/index.html	(from http://localhost:8000/)
